================ Training Loss (Sun Jan  8 16:54:37 2023) ================
(epoch: 12, iters: 200, time: 0.023, data: 0.001) G_GAN: 2.641 G_L1: 33.567 D_real: 0.039 D_fake: 0.136 
(epoch: 12, iters: 300, time: 0.022, data: 0.001) G_GAN: 3.908 G_L1: 36.273 D_real: 0.038 D_fake: 0.027 
(epoch: 12, iters: 400, time: 0.072, data: 0.001) G_GAN: 1.877 G_L1: 39.130 D_real: 0.076 D_fake: 0.127 
(epoch: 13, iters: 100, time: 0.024, data: 0.175) G_GAN: 2.474 G_L1: 38.531 D_real: 0.138 D_fake: 0.106 
(epoch: 13, iters: 200, time: 0.023, data: 0.001) G_GAN: 3.158 G_L1: 37.033 D_real: 0.003 D_fake: 0.477 
(epoch: 13, iters: 300, time: 0.023, data: 0.001) G_GAN: 0.633 G_L1: 32.435 D_real: 1.128 D_fake: 0.086 
(epoch: 13, iters: 400, time: 0.074, data: 0.001) G_GAN: 1.644 G_L1: 33.403 D_real: 0.189 D_fake: 0.555 
(epoch: 14, iters: 100, time: 0.023, data: 0.170) G_GAN: 1.576 G_L1: 31.066 D_real: 0.387 D_fake: 0.384 
(epoch: 14, iters: 200, time: 0.023, data: 0.001) G_GAN: 1.744 G_L1: 26.537 D_real: 0.895 D_fake: 0.074 
(epoch: 14, iters: 300, time: 0.024, data: 0.001) G_GAN: 1.867 G_L1: 29.005 D_real: 0.261 D_fake: 0.249 
(epoch: 14, iters: 400, time: 0.071, data: 0.001) G_GAN: 2.946 G_L1: 29.684 D_real: 0.387 D_fake: 0.049 
(epoch: 15, iters: 100, time: 0.023, data: 0.184) G_GAN: 2.234 G_L1: 39.051 D_real: 0.013 D_fake: 0.922 
(epoch: 15, iters: 200, time: 0.023, data: 0.001) G_GAN: 2.064 G_L1: 31.289 D_real: 0.080 D_fake: 0.672 
(epoch: 15, iters: 300, time: 0.023, data: 0.001) G_GAN: 3.154 G_L1: 40.693 D_real: 0.174 D_fake: 0.024 
(epoch: 15, iters: 400, time: 0.084, data: 0.001) G_GAN: 2.319 G_L1: 34.486 D_real: 0.569 D_fake: 0.071 
(epoch: 16, iters: 100, time: 0.024, data: 0.185) G_GAN: 2.838 G_L1: 44.772 D_real: 0.101 D_fake: 0.109 
(epoch: 16, iters: 200, time: 0.023, data: 0.001) G_GAN: 2.318 G_L1: 42.113 D_real: 0.002 D_fake: 0.367 
(epoch: 16, iters: 300, time: 0.023, data: 0.001) G_GAN: 2.765 G_L1: 35.257 D_real: 0.005 D_fake: 0.510 
(epoch: 16, iters: 400, time: 0.075, data: 0.001) G_GAN: 3.061 G_L1: 36.451 D_real: 0.019 D_fake: 0.060 
(epoch: 17, iters: 100, time: 0.023, data: 0.182) G_GAN: 3.120 G_L1: 27.746 D_real: 0.614 D_fake: 0.031 
(epoch: 17, iters: 200, time: 0.023, data: 0.001) G_GAN: 2.607 G_L1: 27.905 D_real: 0.065 D_fake: 0.732 
(epoch: 17, iters: 300, time: 0.023, data: 0.001) G_GAN: 1.593 G_L1: 28.824 D_real: 0.369 D_fake: 0.080 
(epoch: 17, iters: 400, time: 0.074, data: 0.001) G_GAN: 3.829 G_L1: 26.511 D_real: 0.257 D_fake: 0.028 
(epoch: 18, iters: 100, time: 0.023, data: 0.170) G_GAN: 2.942 G_L1: 35.105 D_real: 0.002 D_fake: 0.241 
(epoch: 18, iters: 200, time: 0.023, data: 0.001) G_GAN: 2.677 G_L1: 30.762 D_real: 0.058 D_fake: 0.488 
(epoch: 18, iters: 300, time: 0.023, data: 0.001) G_GAN: 1.875 G_L1: 32.265 D_real: 0.342 D_fake: 0.466 
(epoch: 18, iters: 400, time: 0.078, data: 0.001) G_GAN: 3.383 G_L1: 32.942 D_real: 0.156 D_fake: 0.043 
(epoch: 19, iters: 100, time: 0.023, data: 0.199) G_GAN: 0.852 G_L1: 28.583 D_real: 2.245 D_fake: 0.210 
(epoch: 19, iters: 200, time: 0.023, data: 0.001) G_GAN: 2.891 G_L1: 35.649 D_real: 0.173 D_fake: 0.121 
(epoch: 19, iters: 300, time: 0.024, data: 0.001) G_GAN: 2.050 G_L1: 34.425 D_real: 0.148 D_fake: 0.982 
(epoch: 19, iters: 400, time: 0.079, data: 0.001) G_GAN: 3.308 G_L1: 50.125 D_real: 0.001 D_fake: 0.027 
(epoch: 20, iters: 100, time: 0.023, data: 0.173) G_GAN: 0.711 G_L1: 23.609 D_real: 1.043 D_fake: 0.230 
(epoch: 20, iters: 200, time: 0.023, data: 0.001) G_GAN: 3.116 G_L1: 36.004 D_real: 0.007 D_fake: 0.530 
(epoch: 20, iters: 300, time: 0.023, data: 0.001) G_GAN: 2.032 G_L1: 29.014 D_real: 0.141 D_fake: 0.295 
(epoch: 20, iters: 400, time: 0.081, data: 0.001) G_GAN: 0.793 G_L1: 24.435 D_real: 1.553 D_fake: 0.170 
(epoch: 21, iters: 100, time: 0.023, data: 0.173) G_GAN: 0.613 G_L1: 23.354 D_real: 3.835 D_fake: 0.108 
(epoch: 21, iters: 200, time: 0.023, data: 0.001) G_GAN: 3.834 G_L1: 39.907 D_real: 0.036 D_fake: 0.050 
